City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,eydhafushi,5.1033,73.0708,27.0,74,100,3.09,MV,2023-02-04 16:07:00
162,hithadhoo,-0.6,73.0833,27.760000000000048,72,77,7.46,MV,2023-02-04 16:07:01
163,grindavik,63.8424,-22.4338,-0.0299999999999727,93,75,15.43,IS,2023-02-04 16:07:01
164,celendin,-6.8703,-78.1517,19.29000000000002,66,93,1.53,PE,2023-02-04 16:07:01
165,richards bay,-28.783,32.0377,25.100000000000023,76,1,3.4,ZA,2023-02-04 16:07:02
166,bilibino,68.0546,166.4372,-35.059999999999974,99,59,2.39,RU,2023-02-04 16:07:03
167,careiro da varzea,-3.2003,-59.8119,24.350000000000023,92,100,1.11,BR,2023-02-04 16:07:03
168,dalvik,65.9702,-18.5286,-1.2899999999999636,73,31,9.91,IS,2023-02-04 16:07:06
169,trairi,-3.2778,-39.2689,30.49000000000001,60,58,5.57,BR,2023-02-04 16:02:20
170,pitogo,13.7847,122.0881,24.0,83,58,4.65,PH,2023-02-04 16:07:08
171,cap malheureux,-19.9842,57.6142,26.930000000000007,77,64,2.68,MU,2023-02-04 16:07:08
172,vila velha,-20.3297,-40.2925,33.97000000000003,61,20,5.66,BR,2023-02-04 16:04:44
173,oussouye,12.485,-16.5469,34.58000000000004,17,87,3.58,SN,2023-02-04 16:07:10
174,lebu,-37.6167,-73.65,19.53000000000003,75,26,5.81,CL,2023-02-04 16:06:40
175,tommot,58.9564,126.2925,-24.889999999999983,100,100,0.28,RU,2023-02-04 16:07:11
176,castro,-24.7911,-50.0119,21.430000000000007,81,99,4.43,BR,2023-02-04 16:02:47
177,walvis bay,-22.9575,14.5053,19.49000000000001,71,86,4.93,,2023-02-04 16:07:12
178,ileza,61.0533,43.9002,-10.129999999999995,97,96,1.4,RU,2023-02-04 16:07:12
179,kahului,20.8947,-156.47,23.80000000000001,75,40,9.77,US,2023-02-04 16:07:13
180,moose factory,51.2585,-80.6094,-18.00999999999999,78,100,5.14,CA,2023-02-04 16:07:14
181,sioux lookout,50.1001,-91.917,-17.49999999999997,92,95,1.96,CA,2023-02-04 16:07:14
182,vostok,46.4856,135.8833,-22.23999999999998,99,99,2.31,RU,2023-02-04 16:07:16
183,cordoba,-31.4135,-64.1811,29.680000000000007,45,2,1.79,AR,2023-02-04 16:07:17
184,akola,20.7333,77.0,23.590000000000032,17,0,2.58,IN,2023-02-04 16:07:18
185,astoria,46.1879,-123.8313,10.480000000000018,84,100,2.57,US,2023-02-04 16:06:32
186,iqaluit,63.7506,-68.5145,-35.16999999999999,59,26,8.05,CA,2023-02-04 16:07:19
187,jambi,-1.6,103.6167,23.610000000000014,96,100,1.15,ID,2023-02-04 16:07:20
188,mount gambier,-37.8333,140.7667,12.120000000000005,89,58,1.7,AU,2023-02-04 16:07:22
189,kaitangata,-46.2817,169.8464,19.24000000000001,74,76,2.46,NZ,2023-02-04 16:07:22
190,berlevag,70.8578,29.0864,-5.0,68,100,2.06,NO,2023-02-04 16:07:23
191,cockburn town,21.4612,-71.1419,24.99000000000001,76,2,7.55,TC,2023-02-04 16:07:24
192,chokurdakh,70.6333,147.9167,-33.059999999999974,98,31,4.07,RU,2023-02-04 16:07:25
193,kjollefjord,70.9457,27.3465,-1.9699999999999704,74,40,1.03,NO,2023-02-04 16:07:25
194,octeville,49.6261,-1.6435,8.879999999999995,76,100,4.22,FR,2023-02-04 16:07:27
195,palu,-0.8917,119.8707,24.090000000000032,93,99,1.13,ID,2023-02-04 16:07:27
196,dourados,-22.2211,-54.8056,29.010000000000048,47,99,2.91,BR,2023-02-04 16:07:12
197,trebukhiv,50.4843,30.903,-2.269999999999982,81,100,4.51,UA,2023-02-04 16:07:29
198,bodden town,19.2833,-81.25,28.33000000000004,66,40,4.63,KY,2023-02-04 16:03:42
199,cherskiy,68.75,161.3,-37.23999999999998,100,92,1.68,RU,2023-02-04 16:06:54
200,indianola,41.3581,-93.5574,2.7200000000000277,66,36,2.68,US,2023-02-04 16:07:30
201,bolobo,-2.1667,16.2333,27.82000000000005,58,90,2.52,CD,2023-02-04 16:07:30
202,cervo,43.6702,-7.4101,12.200000000000044,74,4,5.19,ES,2023-02-04 16:07:30
203,pangnirtung,66.1451,-65.7125,-33.99999999999997,93,80,1.19,CA,2023-02-04 16:07:31
204,montes altos,-5.8333,-47.0667,31.04000000000002,55,88,2.82,BR,2023-02-04 16:07:32
205,sainte-anne,16.2333,-61.3667,27.32000000000005,100,75,7.2,GP,2023-02-04 16:07:32
206,samarai,-10.6167,150.6667,27.090000000000032,79,100,2.71,PG,2023-02-04 16:07:33
207,birao,10.2849,22.7882,33.23000000000002,7,75,3.75,CF,2023-02-04 16:07:33
208,yellowknife,62.456,-114.3525,-35.599999999999966,97,25,1.9,CA,2023-02-04 16:07:10
209,miramar,25.9873,-80.2323,23.340000000000032,83,100,8.23,US,2023-02-04 16:07:34
210,buraydah,26.326,43.975,20.25,32,0,4.41,SA,2023-02-04 16:04:53
211,chanika,-5.4167,38.0167,23.78000000000003,76,100,3.69,TZ,2023-02-04 16:07:34
212,verkhoyansk,67.5447,133.385,-39.089999999999975,98,99,1.36,RU,2023-02-04 16:07:35
213,mohgaon,21.65,78.7167,20.370000000000005,21,2,2.42,IN,2023-02-04 16:07:35
214,qaanaaq,77.484,-69.3632,-19.80999999999997,63,98,2.59,GL,2023-02-04 16:07:18
215,saskylakh,71.9167,114.0833,-44.42999999999998,100,57,0.42,RU,2023-02-04 16:07:32
216,bandarbeyla,9.4942,50.8122,24.27000000000004,65,91,7.24,SO,2023-02-04 16:07:36
